source,target,distance,rank,vegan,raupcrick,phy
Aragusuku,Kuro,3.621747,2,0.0001,-1,133.2090616
Aragusuku,Miyako,135.844441,12,0.0093,-1,133.3652063
Aragusuku,Nakanougan,37.358205,9,0.0015,-1,132.450671
Aragusuku,Okinawa,425.417204,22,0.5031,-1,132.3215244
Aragusuku,Osumi,922.755734,31,0.0194,-0.99,132.800616
Aragusuku,Panari,0.442991,1,0.0001,-1,130.3216207
Aragusuku,Senkaku,168.404869,14,0.0001,-1,131.8045208
Aragusuku,Taketomi,15.087429,5,0.0001,-1,132.276346
Aragusuku,Tarama,85.602596,10,0.0001,-1,131.0007461
Aragusuku,Tokashiki,400.904416,19,0.0001,-1,131.9913721
Aragusuku,Takora,710.554825,29,0.0001,-1,131.4714014
Aragusuku,Tonaki,395.342727,16,0.0001,-1,130.5003862
Aragusuku,Yagaji,486.597126,25,0.0001,-1,132.2504963
Aragusuku,Yonaguni,94.082651,11,0.0684,-0.98,133.4048113
Aragusuku,Zamami,400.623579,18,0.0001,-1,130.5093183
Daito,Hateruma,749.593829,28,0.3882,-0.53,135.1795099
Daito,Hatoma,745.419591,27,0.5926,-0.17,134.7718021
Daito,Ie,350.257903,7,0.3202,-0.62,132.4530264
Daito,Iheya,346.493177,6,0.0023,-1,132.2074881
Daito,Ikema,601.518679,18,0.4235,-0.47,135.8096254
Daito,Iriomote,733.899617,25,0.1549,-0.86,130.3992525
Daito,Ishigaki,693.076358,20,0.3317,-0.66,130.6448231
Daito,Izena,345.89161,5,0.1823,-0.83,133.4515858
Daito,Kamiyama,366.220424,8,0.9896,0.93,137.7508877
Daito,Kohama,728.090383,23,0.3361,-0.59,133.0617686
Daito,Kudaka,332.827717,4,0.2173,-0.79,132.9831529
Daito,Kume,431.941157,15,0.0975,-0.92,132.7813645
Daito,Kuro,725.824789,22,0.2044,-0.79,132.357976
Daito,Miyako,578.917594,17,0.1408,-0.88,130.6754152
Daito,Nakanougan,772.893426,30,0.6477,-0.07,139.0562667
Daito,Okinawa,305.044097,2,0.6654,-0.29,129.3604434
Daito,Osumi,478.561581,16,0.8665,0.54,134.224643
Daito,Panari,735.515101,26,0.5218,-0.28,134.1197822
Daito,Senkaku,754.060121,29,0.2938,-0.69,134.1731323
Daito,Taketomi,718.079816,21,0.2195,-0.76,133.3826727
Daito,Tarama,653.507052,19,0.4517,-0.43,135.0364719
Daito,Tokashiki,385.846994,9,0.0314,-0.98,131.3134929
Daito,Takora,386.554722,10,0.715,0.12,135.1607974
Daito,Tonaki,409.470963,14,0.2641,-0.73,133.676028
Daito,Yagaji,329.763009,3,0.5775,-0.18,133.7858569
Daito,Yonaguni,824.684365,31,0.0014,-1,130.1632655
