source,target,distance,rank,vegan,raupcrick,phy
Iheya,Kamiyama,86.602366,7,0.8983,0.6,136.0886049
Iheya,Zamami,101.331841,10,0.0001,-1,132.8533732
Iheya,Aka,106.789084,12,0.0001,-1,132.4739444
Iheya,Tokashiki,99.569617,9,0.0002,-1,131.5368077
Iheya,Kudaka,88.802273,8,0.0001,-1,132.8533732
Iheya,Daito,346.493177,6,0.0023,-1,132.2074881
Iheya,Senkaku,437.363606,20,0.0031,-1,134.6903355
Iheya,Ikema,350.753111,17,0.0001,-1,133.9446109
Iheya,Miyako,347.389209,16,0.0004,-1,132.0250744
Iheya,Tarama,405.29944,18,0.0001,-1,134.0255201
Iheya,Ishigaki,445.151256,21,0.0162,-1,131.9320263
Iheya,Hatoma,495.889428,27,0.0001,-1,133.7166297
Iheya,Yonaguni,563.015439,31,0.0004,-1,131.7811094
Iheya,Iriomote,493.04826,24,0.1303,-0.89,131.699714
Iheya,Kohama,490.524373,23,0.0001,-1,132.8477324
Iheya,Taketomi,483.178579,22,0.0001,-1,133.4816707
Iheya,Kuro,494.522327,25,0.0001,-1,133.1763361
Iheya,Aragusuku,500.907197,27,0.0001,-1,133.4167559
Iheya,Panari,503.799195,28,0.0001,-1,133.4167559
Iheya,Nakanougan,534.930336,30,0.1508,-0.85,138.0147713
Iheya,Hateruma,524.540359,27,0.0001,-1,134.6309656
Izena,Osumi,438.260775,20,0.0011,-1,132.7378752
Izena,Takora,227.954248,14,0.0001,-1,131.3847971
Izena,Amami,44.926025,3,0.133,-0.91,133.7316552
Izena,Iheya,2.23552,1,0.0001,-1,133.193819
Izena,Okinawa,20.345014,3,0.497,-1,132.1152631
Izena,Yagaji,24.768748,4,0.0001,-1,132.1282072
Izena,Ie,20.3299,3,0.0001,-1,130.6109773
Izena,Aguni,74.753166,10,0.0001,-1,132.8309205
Izena,Tonaki,95.295497,11,0.0001,-1,130.4235958
Izena,Kume,114.749234,13,0.0001,-1,132.5011403
Izena,Kamiyama,77.391446,7,0.6404,0.03,129.706392
Izena,Zamami,93.097652,10,0.0001,-1,130.3523252
Izena,Aka,98.671388,11,0.0001,-1,130.5151774
Izena,Tokashiki,91.054131,9,0.0001,-1,131.6724187
Izena,Kudaka,79.64462,8,0.0001,-1,130.3523252
Izena,Daito,345.89161,5,0.1823,-0.83,133.4515858
Izena,Senkaku,435.558376,19,0.0001,-1,131.8975035
Izena,Ikema,344.453626,26,0.0001,-1,132.3396242
Izena,Miyako,340.956965,15,0.0651,-0.98,133.1043255
Izena,Tarama,399.54121,18,0.0001,-1,131.2669193
Izena,Ishigaki,439.537757,26,0.5176,-0.49,133.0408911
Izena,Hatoma,490.665478,26,0.0001,-1,130.8544876
Izena,Yonaguni,558.583488,31,0.0675,-0.98,133.1015443
Izena,Iriomote,487.493227,26,0.029,-0.99,132.5679746
Izena,Kohama,484.872167,23,0.0001,-1,132.3006397
Izena,Taketomi,477.379816,22,0.0001,-1,132.4407997
Izena,Kuro,488.659402,25,0.0001,-1,133.2797968
Izena,Aragusuku,495.12444,26,0.0001,-1,130.7403664
Izena,Panari,498.002641,28,0.0001,-1,130.7403664
Izena,Nakanougan,529.508847,30,0.0024,-1,132.6339853
Izena,Hateruma,518.635705,26,0.0001,-1,132.1774086
Okinawa,Osumi,429.254768,28,0.9999,1,132.9714798
Okinawa,Takora,223.946531,14,0.9794,0.74,133.7455813
Okinawa,Amami,22.36601,1,0.787,0.04,129.7952086
Okinawa,Iheya,29.204124,2,0.2265,-1,131.4318691
Okinawa,Izena,20.345014,3,0.497,-1,132.1152631
Okinawa,Yagaji,0.08606612,1,0.368,-1,132.6294231
Okinawa,Ie,3.331365,1,0.4406,-1,130.4356547
Okinawa,Aguni,48.916786,7,0.7222,-0.34,131.4897895
Okinawa,Tonaki,50.453032,12,0.5388,-1,132.1313484
Okinawa,Kume,72.316611,7,0.7606,-0.28,131.5712214
Okinawa,Kamiyama,6.876438,1,0.9997,0.97,135.7207971
Okinawa,Zamami,30.593757,9,0.5202,-1,131.3994886
Okinawa,Aka,34.154939,5,0.4888,-1,131.1643431
Okinawa,Tokashiki,25.697437,7,0.2973,-1,130.1494587
Okinawa,Kudaka,5.25493,1,0.5178,-1,131.3994886
Okinawa,Daito,305.044097,2,0.6654,-0.29,129.3604434
Okinawa,Senkaku,396.305251,20,0.8581,-0.02,132.454606
Okinawa,Ikema,273.265597,22,0.465,-1,135.1476711
Okinawa,Miyako,266.89241,21,0.3034,-0.81,129.2847869
Okinawa,Tarama,331.334039,18,0.5418,-1,133.6603405
Okinawa,Ishigaki,371.782496,22,0.3599,-0.72,128.7811606
Okinawa,Hatoma,425.040386,22,0.5242,-1,133.0324969
Okinawa,Yonaguni,498.012923,31,0.3056,-0.81,128.700991
Okinawa,Iriomote,419.538906,22,0.3997,-0.71,128.6462793
Okinawa,Kohama,416.252447,22,0.3576,-1,131.4868272
Okinawa,Taketomi,407.780689,21,0.4138,-1,131.8395746
Okinawa,Kuro,418.48655,21,0.7135,-0.36,130.8465228
Okinawa,Aragusuku,425.417204,22,0.5031,-1,132.3215244
Okinawa,Panari,428.191491,27,0.5045,-1,132.3215244
Okinawa,Nakanougan,462.060519,22,0.9944,0.88,138.0941011
Okinawa,Hateruma,447.887922,21,0.5159,-1,134.1919929
Yagaji,Osumi,459.955104,6,0.0056,-1,133.0084042
Yagaji,Takora,252.483726,6,0.0032,-1,133.4700097
Yagaji,Amami,54.453823,4,0.0564,-0.96,133.8993407
Yagaji,Iheya,32.967405,4,0.0002,-1,132.7957069
Yagaji,Izena,24.768748,4,0.0001,-1,132.1282072
Yagaji,Okinawa,0.08606612,1,0.368,-1,132.6294231
Yagaji,Ie,17.015356,2,0.0001,-1,131.6675691
Yagaji,Aguni,74.626383,9,0.0001,-1,133.0318741
Yagaji,Tonaki,89.148222,10,0.0001,-1,131.8807517
Yagaji,Kume,110.806585,10,0.0001,-1,133.3330058
Yagaji,Kamiyama,59.762014,9,0.8698,0.55,133.1279015
Yagaji,Zamami,80.582043,10,0.0001,-1,131.7664225
Yagaji,Aka,86.504615,10,0.0001,-1,131.5439164
Yagaji,Tokashiki,77.77761,10,0.0001,-1,131.790404
Yagaji,Kudaka,53.788172,5,0.0001,-1,131.7664225
Yagaji,Daito,329.763009,3,0.5775,-0.18,133.7858569
Yagaji,Senkaku,437.588084,27,0.0001,-1,133.6494145
Yagaji,Ikema,334.884414,25,0.0001,-1,132.6112304
Yagaji,Miyako,331.019133,25,0.0574,-0.98,133.2149505
Yagaji,Tarama,391.315675,25,0.0001,-1,132.6418891
Yagaji,Ishigaki,431.611656,25,0.2607,-0.81,133.0907782
Yagaji,Hatoma,483.683412,25,0.0001,-1,132.3218641
Yagaji,Yonaguni,553.591481,31,0.1595,-0.9,133.1164247
Yagaji,Iriomote,479.620639,25,0.0675,-0.96,132.6240031
Yagaji,Kohama,476.739387,25,0.0001,-1,132.8496217
Yagaji,Taketomi,468.854756,25,0.0001,-1,133.4409882
Yagaji,Kuro,479.94071,25,0.0035,-1,134.0226697
Yagaji,Aragusuku,486.597126,25,0.0001,-1,132.2504963
Yagaji,Panari,489.448607,25,0.0001,-1,132.2504963
Yagaji,Nakanougan,521.921792,25,0.1194,-0.87,135.5782263
Yagaji,Hateruma,509.747229,25,0.0001,-1,133.3815738
Ie,Osumi,465.447746,25,0.071,-0.94,132.5016648
Ie,Takora,255.158091,14,0.0001,-1,131.7878328
Ie,Amami,66.277085,6,0.5179,-0.34,132.5868383
Ie,Iheya,29.376128,4,0.0006,-1,132.4695248
Ie,Izena,20.3299,3,0.0001,-1,130.6109773
Ie,Okinawa,3.331365,1,0.4406,-1,130.4356547
Ie,Yagaji,17.015356,2,0.0001,-1,131.6675691
Ie,Aguni,51.850535,8,0.0001,-1,132.3148957
Ie,Tonaki,70.251157,11,0.0001,-1,130.3999192
Ie,Kume,90.497377,13,0.0001,-1,132.0075071
Ie,Kamiyama,48.037044,5,0.7605,0.29,129.9328119
Ie,Zamami,65.539672,9,0.0001,-1,130.1033959
Ie,Aka,71.330901,9,0.0001,-1,130.2084345
Ie,Tokashiki,63.124979,8,0.0001,-1,131.0496482
Ie,Kudaka,53.01275,7,0.0001,-1,130.1033959
Ie,Daito,350.257903,7,0.3202,-0.62,132.4530264
Ie,Senkaku,414.825943,20,0.0001,-1,131.5853357
Ie,Ikema,318.968078,16,0.0001,-1,132.7013601
Ie,Miyako,315.388943,15,0.2916,-0.74,131.9717779
Ie,Tarama,374.420693,18,0.0001,-1,131.4436897
Ie,Ishigaki,414.515726,19,0.1621,-0.93,131.5433136
Ie,Hatoma,465.937335,24,0.0001,-1,130.8389287
Ie,Yonaguni,534.540234,31,0.0314,-0.99,131.7463033
Ie,Iriomote,462.502835,23,0.3328,-0.65,131.2025509
Ie,Kohama,459.80602,22,0.0001,-1,131.5077677
Ie,Taketomi,452.204457,21,0.0001,-1,131.8363585
Ie,Kuro,463.434263,24,0.0001,-1,132.2926914
Ie,Aragusuku,469.954334,24,0.0001,-1,130.6356442
Ie,Panari,472.823853,28,0.0001,-1,130.6356442
Ie,Nakanougan,504.613862,30,0.0338,-0.97,133.6209546
Ie,Hateruma,493.374133,24,0.0001,-1,132.4461713
Aguni,Osumi,510.580957,31,0.0364,-0.97,133.5970602
Aguni,Takora,297.371549,16,0.0102,-0.99,134.5052328
Aguni,Amami,124.509289,13,0.027,-0.99,132.7597983
Aguni,Iheya,79.466893,12,0.0001,-1,132.390735
Aguni,Izena,74.753166,10,0.0001,-1,132.8309205
Aguni,Okinawa,48.916786,7,0.7222,-0.34,131.4897895
Aguni,Yagaji,74.626383,9,0.0001,-1,133.0318741
Aguni,Ie,51.850535,8,0.0001,-1,132.3148957
Aguni,Tonaki,22.159837,1,0.0001,-1,132.7825395
Aguni,Kume,36.374067,2,0.0001,-1,133.1445825
Aguni,Kamiyama,45.53596,6,0.9078,0.66,135.1392569
Aguni,Zamami,36.69632,3,0.0001,-1,132.5528937
Aguni,Aka,40.355621,5,0.0001,-1,132.2755208
Aguni,Tokashiki,39.545112,4,0.0001,-1,131.7228674
Aguni,Kudaka,78.879712,11,0.0001,-1,132.5528937
Aguni,Daito,404.689083,21,0.0056,-1,132.3677049
Aguni,Senkaku,358.870944,18,0.0004,-1,134.328616
Aguni,Ikema,267.576457,15,0.0001,-1,134.0390955
Aguni,Miyako,264.414541,14,0.0049,-1,132.1965
Aguni,Tarama,321.553931,17,0.0001,-1,133.7363106
Aguni,Ishigaki,361.32533,19,0.0604,-0.98,132.1145343
Aguni,Hatoma,411.987109,25,0.0001,-1,133.4222892
Aguni,Yonaguni,479.44036,30,0.0007,-1,132.0123038
Aguni,Iriomote,409.195684,23,0.0334,-0.98,131.859439
Aguni,Kohama,406.70884,22,0.0002,-1,132.8814988
Aguni,Taketomi,399.439609,20,0.0001,-1,133.3900346
Aguni,Kuro,410.821639,24,0.0001,-1,133.0964729
Aguni,Aragusuku,417.155701,26,0.0001,-1,133.098116
Aguni,Panari,420.055207,27,0.0001,-1,133.098116
Aguni,Nakanougan,451.042228,29,0.0829,-0.91,137.314991
Aguni,Hateruma,440.862056,28,0.0001,-1,134.3616154
Tonaki,Osumi,535.342576,12,0.0038,-1,132.6463162
Tonaki,Takora,322.435215,11,0.0001,-1,131.386768
Tonaki,Amami,143.74437,12,0.1879,-0.86,133.832048
Tonaki,Iheya,101.570354,11,0.0001,-1,133.1047992
Tonaki,Izena,95.295497,11,0.0001,-1,130.4235958
